,priogrid
0,240318
1,173423
2,234640
3,211904
4,218313
5,234852
6,227657
7,163322
8,227640
9,99027
10,230543
11,198184
12,223534
13,206592
14,191706
15,170050
16,234146
17,208007
18,215494
19,228407
20,217653
21,217602
22,221191
23,219050
24,217645
25,126624
26,223281
27,203276
28,159333
29,226953
30,205425
31,228412
32,221915
33,231254
34,218311
35,107977
36,203275
37,92783
38,229851
39,211183
40,210479
41,94246
42,228458
43,227665
44,216134
45,233419
46,232731
47,217582
48,134428
49,210390
50,229807
51,225516
52,234141
53,228373
54,101040
55,232705
56,161162
57,227696
58,231272
59,67667
60,224048
61,189752
62,225487
63,220494
64,227666
65,94913
66,226928
67,219094
68,98878
69,169527
70,65010
71,229119
72,229128
73,217570
74,229727
75,99978
76,228375
77,210462
78,229837
79,183521
80,209031
81,238954
82,79190
83,229827
84,228360
85,226239
86,202537
87,210463
88,212627
89,224075
90,228391
91,141030
92,226947
93,218225
94,225498
95,138460
96,235951
97,224064
98,226257
99,134505
100,211911
101,234129
102,234869
103,135584
104,233413
105,222637
106,190471
107,228411
108,211140
109,216878
110,221231
111,217144
112,205296
113,95999
114,211888
115,210457
116,221202
117,216937
118,208942
119,213350
120,121625
121,205422
122,223382
123,226208
124,205409
125,229100
126,223524
127,229813
128,234127
129,228359
130,236343
131,227690
132,66247
133,216206
134,209737
135,221214
136,130919
137,221238
138,230533
139,219041
140,206142
141,222648
142,224110
143,228435
144,220492
145,225521
146,224827
147,216891
148,197488
149,223356
150,228388
151,211906
152,219755
153,96721
154,183008
155,234143
156,132525
157,216212
158,206298
159,229839
160,225537
161,219073
162,215510
163,221957
164,204583
165,119518
166,204831
167,218332
168,226238
169,202505
170,223329
171,222657
172,210459
173,198186
174,71986
175,232700
176,233447
177,229078
178,97442
179,219087
180,229834
181,95698
182,233743
183,204001
184,223368
185,209741
186,217143
187,229859
188,219040
189,231990
190,234138
191,234855
192,222634
193,231273
194,216840
195,214043
196,225340
197,126971
198,202709
199,205658
200,156455
201,112557
202,165742
203,218093
204,184127
205,207916
206,233920
207,171091
208,94926
209,223204
210,228738
211,101067
212,180553
213,225052
214,207547
215,212151
216,187675
217,223147
218,185222
219,225472
220,161476
221,203977
222,223620
223,215131
224,223674
225,226907
226,214246
227,220037
228,232424
229,246450
230,223870
231,220887
232,208307
233,86288
234,113685
235,225356
236,192080
237,193819
238,220049
239,130936
240,170449
241,222976
242,233891
243,218728
244,221018
245,84160
246,127618
247,122611
248,193185
249,106822
250,204287
251,234472
252,192772
253,215313
254,123750
255,229101
256,227635
257,235599
258,78700
259,194108
260,95295
261,227276
262,211091
263,122653
264,228006
265,186102
266,178293
267,230206
268,189033
269,217240
270,227321
271,207833
272,93828
273,197674
274,220817
275,206376
276,238894
277,93515
278,228380
279,50629
280,228745
281,222354
282,216083
283,106537
284,131999
285,187656
286,123000
287,182308
288,199944
289,223519
290,228217
291,216689
292,212153
293,173683
294,223125
295,91346
296,138852
297,127641
298,233833
299,143497
300,229895
301,217488
302,193532
303,90621
304,199941
305,175134
306,199553
307,245715
308,243553
309,211854
310,57092
311,191722
312,183768
313,186241
314,206980
315,179830
316,239607
317,191878
318,92750
319,236035
320,228330
321,223767
322,165088
323,193868
324,128742
325,217309
326,184166
327,204148
328,81298
329,226988
330,199211
331,129475
332,183774
